ratio tpdr tpdf tpd trise tfall diff power temper alter#
1.5000  1.557e-10  9.791e-11  1.268e-10  1.715e-10  9.149e-11  5.780e-11  2.082e-03   70.0000 1
1.6000  1.517e-10  9.870e-11  1.252e-10  1.635e-10  9.168e-11  5.298e-11  2.151e-03   70.0000 1
1.7000  1.484e-10  9.964e-11  1.240e-10  1.575e-10  9.231e-11  4.877e-11  2.233e-03   70.0000 1
1.8000  1.456e-10  1.006e-10  1.231e-10  1.513e-10  9.305e-11  4.497e-11  2.314e-03   70.0000 1
1.9000  1.433e-10  1.014e-10  1.224e-10  1.475e-10  9.336e-11  4.186e-11  2.387e-03   70.0000 1
2.0000  1.414e-10  1.027e-10  1.221e-10  1.436e-10  9.444e-11  3.873e-11  2.468e-03   70.0000 1
2.1000  1.401e-10  1.041e-10  1.221e-10  1.399e-10  9.591e-11  3.598e-11  2.537e-03   70.0000 1
2.2000  1.388e-10  1.053e-10  1.220e-10  1.374e-10  9.628e-11  3.349e-11  2.617e-03   70.0000 1
2.3000  1.380e-10  1.065e-10  1.222e-10  1.340e-10  9.780e-11  3.151e-11  2.695e-03   70.0000 1
2.4000  1.371e-10  1.077e-10  1.224e-10  1.319e-10  9.961e-11  2.941e-11  2.774e-03   70.0000 1
2.5000  1.365e-10  1.090e-10  1.227e-10  1.296e-10  1.009e-10  2.755e-11  2.850e-03   70.0000 1
2.6000  1.360e-10  1.104e-10  1.232e-10  1.275e-10  1.028e-10  2.559e-11  2.927e-03   70.0000 1
2.7000  1.357e-10  1.114e-10  1.235e-10  1.268e-10  1.048e-10  2.432e-11  3.006e-03   70.0000 1
2.8000  1.353e-10  1.127e-10  1.240e-10  1.264e-10  1.066e-10  2.254e-11  3.083e-03   70.0000 1
2.9000  1.352e-10  1.143e-10  1.247e-10  1.254e-10  1.083e-10  2.095e-11  3.155e-03   70.0000 1
3.0000  1.351e-10  1.156e-10  1.253e-10  1.235e-10  1.099e-10  1.946e-11  3.239e-03   70.0000 1
3.1000  1.349e-10  1.171e-10  1.260e-10  1.218e-10  1.111e-10  1.778e-11  3.319e-03   70.0000 1
3.2000  1.349e-10  1.184e-10  1.267e-10  1.209e-10  1.128e-10  1.652e-11  3.393e-03   70.0000 1
3.3000  1.352e-10  1.198e-10  1.275e-10  1.202e-10  1.152e-10  1.538e-11  3.471e-03   70.0000 1
3.4000  1.354e-10  1.213e-10  1.283e-10  1.199e-10  1.173e-10  1.404e-11  3.552e-03   70.0000 1
3.5000  1.355e-10  1.226e-10  1.290e-10  1.190e-10  1.193e-10  1.290e-11  3.631e-03   70.0000 1
3.6000  1.357e-10  1.243e-10  1.300e-10  1.193e-10  1.209e-10  1.148e-11  3.709e-03   70.0000 1
3.7000  1.360e-10  1.257e-10  1.308e-10  1.182e-10  1.221e-10  1.022e-11  3.789e-03   70.0000 1
3.8000  1.363e-10  1.272e-10  1.318e-10  1.187e-10  1.248e-10  9.074e-12  3.869e-03   70.0000 1
3.9000  1.365e-10  1.287e-10  1.326e-10  1.180e-10  1.271e-10  7.788e-12  3.949e-03   70.0000 1
4.0000  1.369e-10  1.303e-10  1.336e-10  1.178e-10  1.289e-10  6.612e-12  4.030e-03   70.0000 1
4.1000  1.372e-10  1.317e-10  1.345e-10  1.176e-10  1.308e-10  5.472e-12  4.108e-03   70.0000 1
4.2000  1.377e-10  1.333e-10  1.355e-10  1.176e-10  1.330e-10  4.411e-12  4.187e-03   70.0000 1
4.3000  1.382e-10  1.348e-10  1.365e-10  1.172e-10  1.351e-10  3.437e-12  4.264e-03   70.0000 1
4.4000  1.385e-10  1.363e-10  1.374e-10  1.170e-10  1.373e-10  2.236e-12  4.341e-03   70.0000 1
4.5000  1.390e-10  1.377e-10  1.384e-10  1.177e-10  1.393e-10  1.257e-12  4.422e-03   70.0000 1
