$DATA1 SOURCE='PrimeSim HSPICE' VERSION='U-2023.03-SP2 linux6' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE ''
ratio,tpdr,tpdf,tpd,trise,tfall,diff,pwr,temper,alter#
   1.0000, 1.653e-10, 8.992e-11, 1.276e-10,   failed, 8.905e-11, 7.540e-11, 2.220e-03,  70.0000,1
   1.1000, 1.631e-10, 9.179e-11, 1.274e-10,   failed, 8.972e-11, 7.131e-11, 2.327e-03,  70.0000,1
   1.2000, 1.612e-10, 9.365e-11, 1.274e-10,   failed, 8.938e-11, 6.751e-11, 2.436e-03,  70.0000,1
   1.3000, 1.598e-10, 9.545e-11, 1.276e-10,   failed, 9.005e-11, 6.439e-11, 2.537e-03,  70.0000,1
   1.4000, 1.583e-10, 9.710e-11, 1.277e-10,   failed, 9.079e-11, 6.117e-11, 2.644e-03,  70.0000,1
   1.5000, 1.535e-10, 9.789e-11, 1.257e-10, 1.712e-10, 9.099e-11, 5.560e-11, 2.823e-03,  70.0000,1
   1.6000, 1.498e-10, 9.876e-11, 1.243e-10, 1.633e-10, 9.136e-11, 5.106e-11, 2.998e-03,  70.0000,1
   1.7000, 1.467e-10, 9.978e-11, 1.232e-10, 1.568e-10, 9.199e-11, 4.694e-11, 3.175e-03,  70.0000,1
   1.8000, 1.443e-10, 1.006e-10, 1.224e-10, 1.517e-10, 9.337e-11, 4.370e-11, 3.338e-03,  70.0000,1
   1.9000, 1.421e-10, 1.019e-10, 1.220e-10, 1.475e-10, 9.330e-11, 4.028e-11, 3.511e-03,  70.0000,1
   2.0000, 1.403e-10, 1.029e-10, 1.216e-10, 1.441e-10, 9.504e-11, 3.741e-11, 3.653e-03,  70.0000,1
   2.1000, 1.388e-10, 1.039e-10, 1.213e-10, 1.404e-10, 9.594e-11, 3.489e-11, 3.788e-03,  70.0000,1
   2.2000, 1.376e-10, 1.050e-10, 1.213e-10, 1.374e-10, 9.759e-11, 3.259e-11, 3.919e-03,  70.0000,1
   2.3000, 1.368e-10, 1.063e-10, 1.215e-10, 1.343e-10, 9.900e-11, 3.048e-11, 4.041e-03,  70.0000,1
   2.4000, 1.360e-10, 1.077e-10, 1.219e-10, 1.318e-10, 9.988e-11, 2.836e-11, 4.158e-03,  70.0000,1
   2.5000, 1.353e-10, 1.087e-10, 1.220e-10, 1.297e-10, 1.018e-10, 2.660e-11, 4.268e-03,  70.0000,1
   2.6000, 1.348e-10, 1.100e-10, 1.224e-10, 1.284e-10, 1.026e-10, 2.479e-11, 4.364e-03,  70.0000,1
   2.7000, 1.344e-10, 1.114e-10, 1.229e-10, 1.272e-10, 1.041e-10, 2.303e-11, 4.468e-03,  70.0000,1
   2.8000, 1.341e-10, 1.129e-10, 1.235e-10, 1.265e-10, 1.058e-10, 2.115e-11, 4.553e-03,  70.0000,1
   2.9000, 1.338e-10, 1.143e-10, 1.240e-10, 1.248e-10, 1.080e-10, 1.950e-11, 4.646e-03,  70.0000,1
   3.0000, 1.336e-10, 1.156e-10, 1.246e-10, 1.237e-10, 1.098e-10, 1.800e-11, 4.731e-03,  70.0000,1
   3.1000, 1.334e-10, 1.170e-10, 1.252e-10, 1.223e-10, 1.109e-10, 1.641e-11, 4.804e-03,  70.0000,1
   3.2000, 1.332e-10, 1.184e-10, 1.258e-10, 1.215e-10, 1.128e-10, 1.479e-11, 4.889e-03,  70.0000,1
   3.3000, 1.332e-10, 1.199e-10, 1.266e-10, 1.203e-10, 1.151e-10, 1.336e-11, 4.962e-03,  70.0000,1
   3.4000, 1.333e-10, 1.212e-10, 1.272e-10, 1.202e-10, 1.165e-10, 1.208e-11, 5.020e-03,  70.0000,1
   3.5000, 1.333e-10, 1.226e-10, 1.280e-10, 1.196e-10, 1.196e-10, 1.069e-11, 5.086e-03,  70.0000,1
   3.6000, 1.334e-10, 1.242e-10, 1.288e-10, 1.198e-10, 1.211e-10, 9.223e-12, 5.147e-03,  70.0000,1
   3.7000, 1.334e-10, 1.256e-10, 1.295e-10, 1.199e-10, 1.235e-10, 7.824e-12, 5.232e-03,  70.0000,1
   3.8000, 1.336e-10, 1.272e-10, 1.304e-10, 1.196e-10, 1.249e-10, 6.402e-12, 5.271e-03,  70.0000,1
   3.9000, 1.336e-10, 1.287e-10, 1.312e-10, 1.192e-10, 1.269e-10, 4.921e-12, 5.333e-03,  70.0000,1
   4.0000, 1.337e-10, 1.302e-10, 1.319e-10, 1.191e-10, 1.288e-10, 3.508e-12, 5.399e-03,  70.0000,1
   4.1000, 1.338e-10, 1.317e-10, 1.327e-10, 1.190e-10, 1.299e-10, 2.104e-12, 5.454e-03,  70.0000,1
   4.2000, 1.338e-10, 1.332e-10, 1.335e-10, 1.189e-10, 1.327e-10, 6.015e-13, 5.513e-03,  70.0000,1
   4.3000, 1.339e-10, 1.347e-10, 1.343e-10, 1.191e-10, 1.351e-10,-8.030e-13, 5.575e-03,  70.0000,1
   4.4000, 1.339e-10, 1.363e-10, 1.351e-10, 1.190e-10, 1.374e-10,-2.327e-12, 5.637e-03,  70.0000,1
