w_p              current_at_vdd2  temper           alter#          
3.600e-07       -7.193e-05         25.0000        1               
5.400e-07       -1.036e-04         25.0000        1               
7.200e-07       -1.415e-04         25.0000        1               
9.000e-07       -1.807e-04         25.0000        1               
1.080e-06       -2.215e-04         25.0000        1               
1.260e-06       -2.628e-04         25.0000        1               
1.440e-06       -3.020e-04         25.0000        1               
1.620e-06       -4.205e-04         25.0000        1               
1.800e-06       -4.704e-04         25.0000        1               
1.980e-06       -4.915e-04         25.0000        1               
2.160e-06       -5.179e-04         25.0000        1               
2.340e-06       -5.405e-04         25.0000        1          
