data_time tdc tcq tdq temper alter#
1.492e-08  1.921e-10  9.131e-10  1.425e-09   25.0000 1
1.493e-08  1.822e-10  8.957e-10  1.408e-09   25.0000 1
1.494e-08  1.717e-10  8.891e-10  1.401e-09   25.0000 1
1.495e-08  1.618e-10  8.837e-10  1.396e-09   25.0000 1
1.496e-08  1.522e-10  8.855e-10  1.398e-09   25.0000 1
1.497e-08  1.423e-10  8.842e-10  1.396e-09   25.0000 1
1.498e-08  1.325e-10  8.841e-10  1.397e-09   25.0000 1
1.499e-08  1.223e-10  8.828e-10  1.395e-09   25.0000 1
1.500e-08  1.121e-10  8.818e-10  1.394e-09   25.0000 1
1.501e-08  1.021e-10  8.821e-10  1.394e-09   25.0000 1
1.502e-08  9.200e-11  8.824e-10  1.394e-09   25.0000 1
1.503e-08  8.198e-11  8.850e-10  1.397e-09   25.0000 1
1.504e-08  7.194e-11  8.817e-10  1.394e-09   25.0000 1
1.505e-08  6.220e-11  8.804e-10  1.393e-09   25.0000 1
1.506e-08  5.233e-11  8.797e-10  1.392e-09   25.0000 1
1.507e-08  4.198e-11  8.734e-10  1.385e-09   25.0000 1
1.508e-08  3.189e-11  8.742e-10  1.386e-09   25.0000 1
1.509e-08  2.207e-11  8.768e-10  1.389e-09   25.0000 1
1.510e-08  1.215e-11  8.718e-10  1.384e-09   25.0000 1
1.511e-08  2.143e-12  8.784e-10  1.391e-09   25.0000 1
1.512e-08 -7.966e-12  8.771e-10  1.389e-09   25.0000 1
1.513e-08 -1.793e-11  8.769e-10  1.389e-09   25.0000 1
1.514e-08 -2.778e-11  8.782e-10  1.390e-09   25.0000 1
1.515e-08 -3.768e-11  8.810e-10  1.393e-09   25.0000 1
1.516e-08 -4.761e-11  8.772e-10  1.390e-09   25.0000 1
1.517e-08 -5.773e-11  8.776e-10  1.390e-09   25.0000 1
1.518e-08 -6.777e-11  8.760e-10  1.388e-09   25.0000 1
1.519e-08 -7.777e-11  8.768e-10  1.389e-09   25.0000 1
1.520e-08 -8.777e-11  8.786e-10  1.391e-09   25.0000 1
1.521e-08 -9.777e-11  8.788e-10  1.391e-09   25.0000 1
1.522e-08 -1.078e-10  8.780e-10  1.390e-09   25.0000 1
1.523e-08 -1.178e-10  8.771e-10  1.389e-09   25.0000 1
1.524e-08 -1.278e-10  8.785e-10  1.391e-09   25.0000 1
1.525e-08 -1.378e-10  8.778e-10  1.390e-09   25.0000 1
1.526e-08 -1.478e-10  8.740e-10  1.386e-09   25.0000 1
1.527e-08 -1.578e-10  8.747e-10  1.387e-09   25.0000 1
1.528e-08 -1.678e-10  8.764e-10  1.389e-09   25.0000 1
1.529e-08 -1.778e-10  8.786e-10  1.391e-09   25.0000 1
1.530e-08 -1.878e-10  8.822e-10  1.394e-09   25.0000 1
